de	zh	fr	hi	it	ja	pt	ru	es
eine - a, an (feminine)	a - a, an（阴性）	a - a, an (féminin)	ए - ए, ए (स्त्रीलिंग)	a - a, an (femminile)	a - a、an (女性)	uma - uma, uma (feminino)	а – а, ан (женский род)	a - a, an (femenino)
als - as, than	作为 - 作为，比	comme - comme, que	जैसे - जैसे, से	come - come, di	として - として、よりも	como - como, do que	как - как, чем	como - como, que
auch - also, too	也——也，也	aussi - aussi aussi	भी - भी, भी	anche - anche, anche	また - また、また	também - também, também	также - также, тоже	también - también, también
es - it	它-它	ça - ça	यह - वह	esso - esso	それ - それ	isso - isso	это - это	eso - eso
an - at, on	an - 在，在	un - à, sur	ए - पर, पर	an - a, su	で、オン	um - em, em	ан - у, на	un - en, en
werden - to become	成为——成为	devenir - devenir	बनना - बनना	diventare - divenire	なる - なる	tornar-se - tornar-se	стать - стать	convertirse - convertirse
aus - out, from	出——出，从	dehors - dehors, de	से - बाहर, से	fuori - fuori, da	アウト - アウト、から	fora - fora, de	из-из, из	desde - fuera, desde
er - he	嘿嘿	il - hé	वह - अरे	lui - ehi	彼 - やあ	ele - ei	он - эй	él - oye
hat - has	有-有	a - a	है है	ha - ha	持っています - 持っています	tem - tem	имеет - имеет	tiene - tiene
dass - that	那-那	ça - ça	यही यही	quello - quello	それ - それ	isso - isso	это - это	eso - eso
sie - she, they	他们——她，他们	ils - elle, ils	वे - वह, वे	loro - lei, loro	彼ら - 彼女、彼ら	eles - ela, eles	они - она, они	ellos - ella, ellos
nach - after, to	之后 - 之后，到	après - après, à	बाद - बाद, को	dopo - dopo, a	後 - 後、に	depois - depois, para	after – после, чтобы	después - después, a
wird - becomes, will	将 - 成为、将	volonté - devient, volonté	वसीयत - बन जाता है, हो जायेगा	volontà - diventa, volontà	するだろう、なるだろう	vontade - torna-se, vai	будет - станет, будет	voluntad - se convierte, voluntad
bei - at, with	在 - 在，与	à - à, avec	पर - पर, साथ	a - a, con	で - で、と	em - em, com	в - у, с	en - en, con
einer - a, one (dative/genitive feminine)	ein - a，一（与格/阴性属格）	ein - a, un (datif/génitif féminin)	ईन - ए, एक (संप्रदान कारक स्त्रीलिंग)	ein - a, uno (dativo/genitivo femminile)	ein - a、one (女性与格/属格)	ein - a, um (dativo/genitivo feminino)	ein - а, один (дательный/родительный падеж женского рода)	ein - a, uno (dativo/genitivo femenino)
um - around, at	嗯 - 大约，在	euh - autour, à	उम् - चारों ओर, पर	ehm - in giro, a	えーっと、そのあたりで、	hum - por aí, em	хм - вокруг, в	um - alrededor, en
am - at the	上午 - 在	suis - au	हूँ - पर	sono - al	午前 - で	estou - no	я - в	soy - en el
sind - are	是 - 是	sont - sont	कर रहे हैं	sono - sono	は - です	são - são	есть - есть	son - son
noch - still, yet	仍然——仍然，还	encore - encore, encore	अभी भी - अभी भी, फिर भी	ancora - ancora, ancora	まだ - まだ、まだ	ainda - ainda, ainda	все еще - все еще, еще	todavía - todavía, todavía
wie - how, like	怎么样——怎么样，比如	comment - comment, comme	कैसे - कैसे, जैसे	come - come, come	どのように - どのように、のように	como - como, como	как - как, типа	cómo - cómo, como
einem - a, one (dative)	ein - a，一（与格）	ein - a, un (datif)	ईन - ए, एक (संप्रदान कारक)	ein - a, uno (dativo)	ein - a、one (与格)	ein - a, um (dativo)	ein - а, один (дательный падеж)	ein - a, uno (dativo)
über - over, about	关于 - 结束，关于	à propos de - terminé, à propos	के बारे में - खत्म, के बारे में	circa - finito, circa	約 - 以上、約	sobre - acabou, sobre	о - о, о	sobre - terminado, sobre
einen - a, one (accusative)	ein - a，一（宾格）	ein - a, un (accusatif)	ईन - ए, एक (अभियोगात्मक)	ein - a, uno (accusativo)	ein - a、1 (対格)	ein - a, um (acusativo)	эйн - а, один (винительный падеж)	ein - a, uno (acusativo)
so - so, thus	如此如此，如此	alors - donc, donc	तो - तो, ​​इस प्रकार	così - così, così	それで - それで、したがって	então - então, assim	так - так, таким образом	entonces - entonces, así
zum - to the	到 - 到	à - au	को - को	a - al	に - に	para - para o	к - к	a - al
war - was	是 - 什么	était - quoi	था - क्या	era - cosa	だった - 何	foi - o que	было - что	era - que
haben - to have	拥有 - 拥有	avoir - avoir	किया है	avere - avere	持っている - 持っている	ter - ter	иметь - иметь	tener - tener
nur - only	仅仅——仅仅	juste - seulement	बस केवल	solo - solo	ただ - だけ	apenas - apenas	просто - только	solo - solo
oder - or	或 - 或	ou - ou	या - या	o - o	または - または	ou - ou	или - или	o - o
aber - but	但是-但是	mais - mais	लेकिन - लेकिन	ma - ma	でも - でも	mas - mas	но - но	pero - pero
vor - before, in front of	vor - 之前，在前面	vor - avant, devant	वोर - पहले, सामने	vor: prima, di fronte	vor - 前、前	vor - antes, na frente de	вор – прежде, перед	vor - antes, delante de
zur - to the (feminine)	to - 到（女性）	à - au (féminin)	को - को (स्त्री.)	a - al (femminile)	に - に (女性)	para - para o (feminino)	to - к (женскому роду)	a - al (femenino)
bis - until, to	直到 - 直到	jusqu'à - jusqu'à, à	जब तक - जब तक, तक	fino a - fino a	まで - まで、まで	até - até, para	до тех пор, пока - пока, чтобы	hasta - hasta, hasta
mehr - more	更多-更多	plus - plus	अधिक अधिक	di più - di più	もっと - もっと	mais - mais	больше - больше	más - más
durch - through	通过 - 通过	à travers - à travers	के माध्यम से - के माध्यम से	attraverso - attraverso	スルー - スルー	através - através	через - через	a través - a través
man - one, you	男人 - 一，你	mec - un, toi	आदमी - एक, तुम	amico, uno, tu	男 - 1 つ、あなた	cara - um, você	мужчина - один, ты	hombre - uno, tu
sein - to be, his	是 - 是，他的	être - être, son	होना - होना, उसका होना	essere - essere, suo	なる - なる、彼の	ser - ser, seu	be - быть, его	ser - ser, su
wurde - became, was	成为 - 成为，什么	est devenu - est devenu, quoi	बन गया - बन गया, क्या	è diventato - è diventato, cosa	なった - なった、何	tornou-se - tornou-se, o que	стал - стал, какой	se convirtió - se convirtió, qué
sei - be (subjunctive)	be - be（虚拟语气）	être - être (subjonctif)	होना - होना (सब्जेक्टिव)	essere - essere (congiuntivo)	be - be (仮定法)	ser - ser (subjuntivo)	быть – быть (сослагательное наклонение)	ser - ser (subjuntivo)
in - in	进进出出	dans - dans	में - में	dentro - dentro	で - で	dentro - dentro	в - в	en - en
prozent - percent	百分比 - 百分比	pour cent - pour cent	प्रतिशत - प्रतिशत	per cento - per cento	パーセント - パーセント	por cento - por cento	процент - процент	por ciento - por ciento
hatte - had	曾经 - 曾经	avait - avait	था - था	aveva - aveva	持っていた - 持っていた	tinha - tinha	имел - имел	tenía - tenía
kann - can	可以 - 可以	peut - peut	कर सकते हैं	può - può	できる - できる	pode - pode	может - может	puede - puede
gegen - against	反对-反对	contre - contre	विरुद्ध - विरुद्ध	contro - contro	反対 - 反対	contra - contra	против - против	en contra - en contra
vom - from the	从 - 从	de - du	से - से	da - dal	から - から	de - do	из - из	desde - desde el
können - can, to be able to	can - 能够，能够	peut - peut, être capable de	कर सकते हैं - कर सकते हैं, करने में सक्षम होना	può - può, poter	できる - できる、できる	pode - pode, ser capaz de	can - может, иметь возможность	puede - puede, para poder
schon - already	已经——已经	déjà - déjà	पहले से ही - पहले से ही	già - già	もう - もう	já - já	уже - уже	ya - ya
wenn - if, when	如果 - 如果，当	si - si, quand	अगर - अगर, कब	se - se, quando	もし - もし、いつ	se - se, quando	если - если, когда	si - si, cuando
habe - have	有-有	avoir - avoir	लें लें	avere - avere	持っています - 持っています	tenho - tenho	иметь - иметь	tener - tener
seine - his	他的 - 他的	son - son	उसका - उसका	suo - suo	彼の - 彼の	dele - dele	его - его	su - su
mark - mark	标记-标记	marque - marque	निशान - निशान	segnare - segnare	マーク - マーク	marca - marca	отметка - отметка	marca - marca
ihre - her, their	他们的——她的，他们的	leur - elle, leur	उनका - उसका, उनका	loro - lei, loro	彼らの - 彼女、彼らの	eles - ela, eles	их - ее, их	su - ella, su
dann - then	然后-然后	alors - alors	तो फिर	allora - allora	それから - それから	então - então	тогда - тогда	entonces - entonces
unter - under	下--下	sous - sous	नीचे - नीचे	sotto - sotto	下 - 下	abaixo - abaixo	под - под	debajo - debajo
wir - we	我们-我们	nous - nous	हम - हम	noi - noi	私たち - 私たち	nós - nós	мы - мы	nosotros - nosotros
soll - shall, should	应 - 应当、应该	doit - doit, devrait	करेगा - करेगा, चाहिए	deve - deve, dovrebbe	しなければなりません、しなければなりません	deve - deve, deveria	должен - должен, должен	deberá - deberá, debería
ich - I	我-我	Je - je	मैं - मैं	Io - io	私 - 私	eu - eu	Я - я	yo - yo
eines - of a (genitive)	eins - a（所有格）	eins - d'un (génitif)	ईन्स - एक (जननात्मक) का	eins - di un (genitivo)	eins - (属格)	eins - de a (genitivo)	eins - (родительный падеж)	eins - de un (genitivo)
es - it	它-它	ça - ça	यह - वह	esso - esso	それ - それ	isso - isso	это - это	eso - eso
jahr - year	年复一年	année - année	साल - साल	anno - anno	年 - 年	ano - ano	год - год	año - año
zwei - two	二二	deux - deux	दो दो	due - due	2 - 2	dois - dois	два - два	dos - dos
jahren - years	年-年	années - années	साल-साल	anni - anni	年 - 年	anos - anos	годы - годы	años - años
diese - this, these	这些——这个，这些	ceux-ci - ceci, ceux-ci	ये - ये, ये	questi - questo, questi	これら - これ、これら	estes - isto, estes	эти - это, эти	estos - esto, estos
dieser - this	这个-这个	ceci - ceci	यह - यह	questo - questo	これ - これ	isso - isso	это - это	esto - esto
wieder - again	再次 - 再次	encore - encore	फिर फिर	ancora - ancora	もう一度 - もう一度	de novo - de novo	снова - снова	otra vez - otra vez
keine - no, none	没有 - 没有，没有	aucun - non, aucun	कोई नहीं - नहीं, कोई नहीं	nessuno - no, nessuno	なし - いいえ、なし	nenhum - não, nenhum	нет - нет, нет	ninguno - no, ninguno
seinem - his (dative)	his - 他的（与格）	son - son (datif)	उसका - उसका (गोताखोर)	suo - suo (dativo)	彼の - 彼の（与格）	seu - seu (dativo)	his - его (дательный падеж)	su - su (dativo)
alle - all	所有 - 所有	tout - tout	सब - सब	tutto - tutto	すべて - すべて	tudo - tudo	все - все	todos - todos
weitere - further	进一步 - 进一步	plus loin - plus loin	आगे - आगे	ulteriormente - ulteriormente	さらに - さらに	mais - mais longe	дальше - дальше	más lejos - más lejos
auch - also	也——如此	aussi - donc	ऐसा भी	anche - così	また - それで	também - então	также - так	también - entonces
zwischen - between	之间 - 之间	entre - entre	बीच-बीच में	tra - tra	間 - 間	entre - entre	между - между	entre - entre
jedoch - however	然而——然而	cependant - cependant	हालाँकि - हालाँकि	tuttavia - tuttavia	ただし - ただし	no entanto - no entanto	однако - однако	sin embargo - sin embargo
seit - since	自从 - 自从	depuis - depuis	जब से - तब से	da - da allora	それ以来 - それ以来	desde - desde	с тех пор как	desde - desde
mio - million	mio-百万	millions - millions	मियो - मिलियन	mio - milioni	ミオ - ミオ	milhão - milhão	мио - миллион	millones - millones
zeit - time	时间-时间	temps - temps	समय - समय	tempo - tempo	時間 - 時間	tempo - tempo	время - время	tiempo - tiempo
ihm - him (dative)	他 - 他（与格）	lui - lui (datif)	वह - वह (गोताखोर)	lui - lui (dativo)	彼 - 彼 (与格)	ele - ele (dativo)	его - его (дательный падеж)	él - él (dativo)
sowie - as well as	以及——以及	ainsi que - ainsi que	साथ ही साथ - साथ ही साथ	così come - così come	同様に - 同様に	bem como - bem como	а также - а также	así como - así como
bereits - already	已经——已经	déjà - déjà	पहले से ही - पहले से ही	già - già	もう - もう	já - já	уже - уже	ya - ya
ihre - her, their	他们的——她的，他们的	leur - elle, leur	उनका - उसका, उनका	loro - lei, loro	彼らの - 彼女、彼らの	eles - ela, eles	их - ее, их	su - ella, su
ihrer - her, their (genitive)	hers - 她的，他们的（所有格）	le sien - elle, leur (génitif)	उसका - उसका, उनका (जननात्मक)	lei - lei, loro (genitivo)	彼女 - 彼女、彼ら（属格）	dela - ela, deles (genitivo)	hers - ее, их (родительный падеж)	ella - ella, su (genitivo)
später - later	稍后 - 稍后	plus tard - plus tard	बाद में - बाद में	più tardi - più tardi	後で - 後で	mais tarde - mais tarde	позже - позже	más tarde - más tarde
ihm - to him	他-对他	lui - pour lui	उसे - उसे	lui - a lui	彼 - 彼に	ele - para ele	ему - ему	él - a él
teil - part	部分-部分	partie - partie	भाग - भाग	parte - parte	一部 - 一部	parte - parte	часть - часть	parte - parte
doch - but, yet	尽管如此——但是，然而	néanmoins - mais, pourtant	फिर भी - लेकिन, फिर भी	tuttavia - ma, tuttavia	それにもかかわらず - でも、それでも	no entanto - mas, ainda	тем не менее - но, все же	sin embargo - pero, todavía
ersten - first	第一 - 第一	premier - premier	प्रथम - प्रथम	primo - primo	最初 - 最初	primeiro - primeiro	первый - первый	primero - primero
neue - new	新 - 新	nouveau - nouveau	नई नई	nuovo - nuovo	新しい - 新しい	novo - novo	новый - новый	nuevo - nuevo
seinen - his (accusative/dative plural)	his - 他的（宾格/与格复数）	son - son (accusatif/datif pluriel)	उसका - उसका (अभियोगात्मक/संप्रदान कारक बहुवचन)	suo - suo (accusativo/dativo plurale)	his - 彼の (対格/複数与格)	his - his (acusativo/dativo plural)	his - его (винительный/дательный падеж множественного числа)	su - su (acusativo/dativo plural)
dabei - thereby, in doing so	从而 - 从而，这样做	ainsi - ainsi, ce faisant	इस प्रकार - इस प्रकार, ऐसा करने में	così - così, così facendo	それによって - それによって、そうすることで	assim - assim, ao fazê-lo	тем самым - тем самым, делая это	por lo tanto - por lo tanto, al hacerlo
staat - state	状态-状态	état - état	राज्य - राज्य	stato - stato	状態 - 状態	estado - estado	государство - государство	estado - estado
kein - no, not a	不 - 不，不是	non - non, pas un	नहीं - नहीं, नहीं ए	no - no, non a	いいえ、いいえ、そうではありません	não - não, não é um	нет-нет, не	no - no, no un
damit - with it, so that	这样 - 有了它，这样	pour que - avec ça, pour que	तो वह - इसके साथ, तो वह	così - con esso, così quello	それで - それと一緒に、それで	então isso - com isso, então	так что - с этим, чтобы	para que - con eso, para que
neuen - new (dative/accusative)	新 - 新（与格/宾格）	nouveau - nouveau (datif/accusatif)	नया - नया (संप्रदान कारक/अभियोगात्मक)	nuovo - nuovo (dativo/accusativo)	new - 新しい (与格/対格)	novo - novo (dativo/acusativo)	новый - новый (дательный/винительный падеж)	nuevo - nuevo (dativo/acusativo)
deutschen - German	德语 - 德语	Allemand - Allemand	जर्मन - जर्मन	Tedesco - tedesco	ドイツ語 - ドイツ語	Alemão - Alemão	немецкий - немецкий	Alemán - Alemán
münchen - Munich	慕尼黑 - 慕尼黑	Munich - Munich	म्यूनिख - म्यूनिख	Monaco - Monaco	ミュンヘン - ミュンヘン	Munique - Munique	Мюнхен - Мюнхен	Múnich - Múnich
stelle - place, position	stelle——地点、位置	stelle - lieu, position	स्टेल - स्थान, स्थिति	stelle: luogo, posizione	ステラ - 場所、位置	estela - lugar, posição	stelle – место, положение	stelle - lugar, posición
beiden - both	两者 - 两者	les deux - les deux	दोनों - दोनों	entrambi - entrambi	両方 - 両方	ambos - ambos	оба - оба	ambos - ambos
deutschland - Germany	德国 - 德国	Allemagne - Allemagne	जर्मनी - जर्मनी	Germania - Germania	ドイツ - ドイツ	Alemanha - Alemanha	Германия - Германия	Alemania - Alemania
anderen - other	其他 - 其他	autre - autre	अन्य - अन्य	altro - altro	その他 - その他	outro - outro	другое - другое	otro - otro
anderem - other (dative)	其他 - 其他（与格）	Autre - autre (datif)	अन्य - अन्य (मूल)	Altro - altro (dativo)	その他 - その他 (与格)	Outro - outro (dativo)	Другое - другой (дательный падеж)	Otro - otro (dativo)
land - country, land	国家——国家，国家	pays - pays, pays	देश - देश, देश	paese - paese, paese	国、国、国	país - país, país	страна - страна, страна	país - país, país
allem - all (dative)	全部 - 全部（与格）	tout - tout (datif)	सब - सब (संप्रदान कारक)	tutto - tutto (dativo)	すべて - すべて (与格)	todos - todos (dativo)	all – все (дательный падеж)	todos - todos (dativo)
drei - three	三三	trois - trois	तीन - तीन	tre - tre	3 - 3	três - três	три - три	tres - tres
wurden - were, became	是 - 是，成为	étaient - étaient, sont devenus	थे - थे, बन गये	erano - erano, diventavano	だった - だった、なった	eram - eram, tornaram-se	были - были, стали	fueron - fueron, se convirtieron
ersten - first	第一 - 第一	premier - premier	प्रथम - प्रथम	primo - primo	最初 - 最初	primeiro - primeiro	первый - первый	primero - primero
mal - time	次数-时间	fois - temps	समय - समय	volte - tempo	回 - 時間	vezes - tempo	раз - время	veces - tiempo
seines - his (genitive)	his - 他的（所有格）	son - son (génitif)	उसका - उसका (जननात्मक)	suo - suo (genitivo)	彼の - 彼の（属格）	dele - seu (genitivo)	his - его (родительный падеж)	su - su (genitivo)
da - there, since	da - 那里，从那时起	da - là, depuis	दा - वहाँ, तब से	da - lì, da allora	だ - そこにいるから	da - lá, desde	да - там, так как	da - ahí, desde
menschen - people	人-人	les gens - les gens	लोग - लोग	persone - persone	人 - 人	pessoas - pessoas	люди - люди	gente - gente
ab - from, off	ab - 从、关闭	ab - de, hors	अब - से, बंद	ab - da, spento	ab - から、オフ	ab - de, desligado	аб – от, выкл.	ab - desde, apagado
ja - yes	是的 - 是的	oui - oui	हां हां	sì - sì	はい - はい	sim - sim	да-да	si - si
bis - until	直到 - 直到	jusqu'à - jusqu'à	जब तक - जब तक	fino a - fino a quando	まで - まで	até - até	пока - пока	hasta - hasta
leben - life, to live	live——生活，生活	vivre - la vie, vivre	जीना - जीवन, जीना	vivere - vita, vivere	生きる - 人生、生きること	viver - vida, viver	жить - жизнь, жить	vivir - vida, vivir
nichts - nothing	什么都没有-什么都没有	rien - rien	कुछ भी नहीं कुछ भी नहीं	niente - niente	何もない - 何もない	nada - nada	ничего - ничего	nada - nada
seinem - his (dative)	his - 他的（与格）	son - son (datif)	उसका - उसका (गोताखोर)	suo - suo (dativo)	彼の - 彼の（与格）	seu - seu (dativo)	his - его (дательный падеж)	su - su (dativo)
sondern - but rather	但是-而是	mais - mais plutôt	लेकिन - बल्कि	ma - ma piuttosto	でも - でもむしろ	mas - mas sim	но - но скорее	pero - pero más bien
selbst - self, even	自我，甚至自我	soi-même, même	स्वयं - स्वयं, यहां तक ​​कि	sé - sé, addirittura	自分 - 自分、さえ	eu mesmo, mesmo	сам - даже сам	yo - yo, incluso
anderen - other	其他 - 其他	autre - autre	अन्य - अन्य	altro - altro	その他 - その他	outro - outro	другое - другое	otro - otro
liegt - lies, is located	谎言 - 谎言，位于	mensonges - mensonges, est situé	झूठ - झूठ, स्थित है	bugie - bugie, si trova	嘘 - 嘘、位置しています	mentiras - mentiras, está localizado	лежит - лежит, находится	mentiras - mentiras, se encuentra
ihren - their (dative/accusative)	他们的 - 他们的（与格/宾格）	le leur - le leur (datif/accusatif)	उनका - उनका (संप्रदान कारक/अभियोगात्मक)	loro - loro (dativo/accusativo)	theirs - 彼らのもの (与格/対格)	deles - deles (dativo/acusativo)	их - их (дательный/винительный падеж)	suyo - suyo (dativo/acusativo)
welt - world	世界-世界	monde - monde	दुनिया - दुनिया	mondo - mondo	世界 - 世界	mundo - mundo	мир - мир	mundo - mundo
muss - must	必须——必须	doit - doit	अवश्य - अवश्य	deve - deve	しなければならない - しなければならない	deve - deve	должен - должен	debe - debe
ihrem - their (dative)	他们的 - 他们的（与格）	leur - leur (datif)	उनका - उनका (मूल)	loro - loro (dativo)	彼らの - 彼らの（与格）	seu - seu (dativo)	их - их (дательный падеж)	su - su (dativo)
während - during, while	同时 - 期间，同时	pendant - pendant, pendant	जबकि - दौरान, जबकि	mentre - durante, mentre	その間 - その間、その間	enquanto - durante, enquanto	пока - во время, пока	mientras - durante, mientras
ihrer - their (genitive/dative)	他们的 - 他们的（所有格/与格）	le leur - le leur (génitif/datif)	उनका - उनका (जननात्मक/संप्रदान कारक)	loro - loro (genitivo/dativo)	theirs - 彼らのもの (属格/与格)	deles - deles (genitivo/dativo)	их - их (родительный/дательный падеж)	suyo - suyo (genitivo/dativo)
dr - Dr.	博士 - 博士。	Dr - Dr.	डॉ - डॉ.	dottor - Dott.	博士 - 博士。	dr - Dr.	доктор - Доктор.	dr - dr.
ihrer - their	他们的-他们的	le leur - le leur	उनका - उनका	loro - loro	彼らのもの - 彼らのもの	deles - deles	их - их	suyo - suyo
stadt - city	城市​​- 城市	ville - ville	शहर - शहर	città - città	市 - 市	cidade - cidade	город - город	ciudad - ciudad
sowie - as well as	以及——以及	ainsi que - ainsi que	साथ ही साथ - साथ ही साथ	così come - così come	同様に - 同様に	bem como - bem como	а также - а также	así como - así como
große - large, great	大——大，伟大	grand - grand, super	बड़ा - बड़ा, बढ़िया	grande - grande, fantastico	大 - 大きい、素晴らしい	grande - grande, ótimo	большой - большой, великий	grande - grande, genial
erfolg - success	成功——成功	succès - succès	सफलता - सफलता	successo - successo	成功 - 成功	sucesso - sucesso	успех - успех	éxito - éxito
immer - always	总是 - 总是	toujours - toujours	हमेशा - हमेशा	sempre - sempre	いつも - いつも	sempre - sempre	всегда - всегда	siempre - siempre
zurück - back	后背	retour - retour	पीछे - पीछे	indietro - indietro	戻る - 戻る	de volta - de volta	назад - назад	atrás - atrás
zusammen - together	一起——一起	ensemble - ensemble	एक साथ - एक साथ	insieme - insieme	一緒に - 一緒に	juntos - juntos	вместе - вместе	juntos - juntos
ganz - quite, whole	相当 - 相当，整个	tout à fait - tout à fait, entier	बिल्कुल - बिल्कुल, संपूर्ण	abbastanza - abbastanza, intero	かなり - かなり、全体	bastante - bastante, inteiro	совсем - совсем, целый	bastante - bastante, entero
berlin - Berlin	柏林 - 柏林	Berlin - Berlin	बर्लिन - बर्लिन	Berlino - Berlino	ベルリン - ベルリン	Berlim - Berlim	Берлин - Берлин	Berlín - Berlín
waren - were	是 - 是	étaient - étaient	थे - थे	erano - erano	だった - だった	eram - eram	были - были	eran - eran
geben - to give	给予 - 给予	donner - donner	देना - देना	dare - dare	与える - 与える	dar - dar	дать - дать	dar - dar
heute - today	今天 - 今天	aujourd'hui - aujourd'hui	आज - आज	oggi - oggi	今日 - 今日	hoje - hoje	сегодня - сегодня	hoy - hoy
diesem - this (dative)	到这个 - 这个（与格）	à ceci - ceci (datif)	इसे - यह (संप्रदान कारक)	a questo - questo (dativo)	これに - これ (与格)	para isto - isto (dativo)	to this - этот (дательный падеж)	a esto - esto (dativo)
geschichte - history, story	历史——历史、故事	histoire - histoire, histoire	इतिहास - इतिहास, कहानी	storia - storia, storia	歴史 - 歴史、物語	história - história, história	история - история, история	historia - historia, historia
platz - place, square	platz - 地方、广场	platz - place, place	प्लाट्ज़ - स्थान, वर्ग	platz: luogo, piazza	プラッツ - 場所、広場	platz - lugar, praça	platz — место, площадь	platz - lugar, plaza
gut - good, well	好——好，好	bien - bien, eh bien	अच्छा - अच्छा, अच्छा	bene - bene, bene	良い - 良い、まあ	bom - bom, bem	хорошо - хорошо, ну	bueno - bueno, bueno
allerdings - however	然而——然而	cependant - cependant	हालाँकि - हालाँकि	tuttavia - tuttavia	ただし - ただし	no entanto - no entanto	однако - однако	sin embargo - sin embargo
nun - now	现在-现在	maintenant - maintenant	अभी -अभी	ora - ora	今 - 今	agora - agora	сейчас - сейчас	ahora - ahora
name - name	姓名 - 姓名	nom - nom	नाम नाम	nome - nome	名前 - 名前	nome - nome	имя - имя	nombre - nombre
deutschland - Germany	德国 - 德国	Allemagne - Allemagne	जर्मनी - जर्मनी	Germania - Germania	ドイツ - ドイツ	Alemanha - Alemanha	Германия - Германия	Alemania - Alemania
wenig - little, few	很少——很少，很少	peu - peu, peu	थोड़ा - थोड़ा, थोड़ा	poco - poco, pochi	少し - 少し、少し	pouco - pouco, poucos	мало - мало, мало	poco - poco, pocos
alte - old	老旧	vieux - vieux	पुराना पुराना	vecchio - vecchio	古い - 古い	velho - velho	старый - старый	viejo - viejo
viele - many	许多 - 许多	beaucoup - beaucoup	बहुत सारे	molti - molti	たくさん - たくさん	muitos - muitos	много - много	muchos - muchos
erste - first	第一 - 第一	premier - premier	प्रथम - प्रथम	primo - primo	最初 - 最初	primeiro - primeiro	первый - первый	primero - primero
dabei - thereby	由此——从而	ainsi - ainsi	इस प्रकार - इस प्रकार	in tal modo - in tal modo	それによって - それによって	assim - assim	тем самым - тем самым	por lo tanto - por lo tanto
konnte - could	可以 - 可以	pourrait - pourrait	सकता है - सकता है	potrebbe - potrebbe	できる - できる	poderia - poderia	мог бы - мог бы	podría - podría
mal - time	次数-时间	fois - temps	समय - समय	volte - tempo	回 - 時間	vezes - tempo	раз - время	veces - tiempo
ihnen - them, you (formal)	他们 - 他们，你（正式）	eux - eux, vous (formel)	वे - वे, आप (औपचारिक)	loro - loro, tu (formale)	彼ら - 彼ら、あなた (正式な)	eles - eles, você (formal)	их – их, ты (формально)	ellos - ellos, tú (formal)
deren - whose, their	谁的 - 谁的，他们的	dont - dont, leur	किसका - किसका, उनका	di chi - di chi, loro	誰の - 誰の、彼らの	de quem - de quem, deles	чей - чей, их	cuyo - cuyo, su
